vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,density
28957,Архангельск,Супы,0.0,2.0,0.0,1.0
37381,Архангельск,Пироги,0.0,0.0,0.0,
28703,Архангельск,Суши,111.0,3.0,0.0,0.013333333333333334
37382,Архангельск,Пироги,1.0,0.0,0.0,0.0
36877,Архангельск,Бургеры,22.0,2.0,0.0,0.043478260869565216
37650,Архангельск,Суши,3.0,0.0,0.0,0.0
37127,Астрахань,Суши,55.0,5.0,6.0,0.043478260869565216
28476,Астрахань,Суши,342.0,13.0,14.0,0.018651362984218076
28478,Астрахань,Суши,194.0,1.0,7.0,0.002570694087403599
34127,Астрахань,Пицца,136.0,4.0,1.0,0.014492753623188406
28477,Астрахань,Суши,74.0,1.0,1.0,0.006711409395973154
36291,Астрахань,Суши,23.0,1.0,2.0,0.02127659574468085
37437,Астрахань,Шашлыки,112.0,1.0,0.0,0.0044444444444444444
28517,Астрахань,Пицца,142.0,4.0,4.0,0.013888888888888888
29027,Астрахань,Суши,5.0,0.0,0.0,0.0
37128,Астрахань,Пицца,12.0,2.0,0.0,0.07692307692307693
28548,Астрахань,Пицца,79.0,1.0,2.0,0.006289308176100629
33322,Астрахань,Суши,0.0,1.0,1.0,1.0
28515,Астрахань,Пицца,192.0,1.0,0.0,0.0025974025974025974
28473,Астрахань,Суши,98.0,3.0,1.0,0.01507537688442211
37563,Барнаул,Пироги,4.0,1.0,0.0,0.1111111111111111
13235,Барнаул,Пицца,37.0,0.0,0.0,0.0
37071,Барнаул,Шашлыки,12.0,0.0,0.0,0.0
36097,Барнаул,Шашлыки,7.0,1.0,1.0,0.06666666666666667
36197,Барнаул,Выпечка,3.0,1.0,0.0,0.14285714285714285
19795,Барнаул,Суши,881.0,7.0,4.0,0.00395703787450537
10892,Барнаул,Суши,84.0,2.0,0.0,0.011764705882352941
18166,Барнаул,Шашлыки,98.0,4.0,3.0,0.02
13191,Барнаул,Пицца,105.0,0.0,1.0,0.0
35749,Барнаул,Пицца,80.0,0.0,1.0,0.0
9255,Барнаул,Суши,52.0,0.0,1.0,0.0
13236,Барнаул,Пицца,76.0,3.0,0.0,0.01935483870967742
10036,Барнаул,Шашлыки,92.0,0.0,0.0,0.0
36753,Барнаул,Суши,109.0,2.0,0.0,0.00909090909090909
35330,Белгород,Суши,49.0,0.0,1.0,0.0
35602,Белгород,Суши,203.0,10.0,6.0,0.02403846153846154
31896,Белгород,Шашлыки,166.0,5.0,3.0,0.01483679525222552
11474,Белгород,Суши,663.0,10.0,13.0,0.0074850299401197605
37234,Белгород,Пицца,45.0,1.0,0.0,0.01098901098901099
36060,Белгород,Суши,416.0,4.0,3.0,0.004784688995215311
15822,Белгород,Японская,183.0,1.0,1.0,0.0027247956403269754
35477,Белгород,Русская,158.0,1.0,2.0,0.0031545741324921135
36254,Белгород,Пироги,14.0,0.0,0.0,0.0
11476,Белгород,Суши,460.0,4.0,10.0,0.004329004329004329
35804,Белгород,Пицца,27.0,1.0,0.0,0.01818181818181818
37823,Белгород,Шаурма,0.0,1.0,2.0,1.0
11471,Белгород,Суши,177.0,1.0,6.0,0.0028169014084507044
26825,Белгород,Шашлыки,288.0,5.0,6.0,0.008605851979345954
13553,Брянск,Пицца,320.0,1.0,4.0,0.0015600624024961
36386,Брянск,Суши,65.0,0.0,0.0,0.0
36153,Брянск,Шашлыки,177.0,1.0,4.0,0.0028169014084507044
36885,Брянск,Суши,84.0,0.0,1.0,0.0
33111,Брянск,Суши,266.0,1.0,2.0,0.001876172607879925
35712,Брянск,Пицца,235.0,6.0,2.0,0.012605042016806723
9285,Брянск,Суши,1029.0,9.0,19.0,0.0043541364296081275
37587,Брянск,Русская,4.0,1.0,4.0,0.1111111111111111
13549,Брянск,Пицца,207.0,1.0,1.0,0.0024096385542168677
9290,Брянск,Суши,300.0,7.0,6.0,0.011532125205930808
9289,Брянск,Суши,90.0,2.0,0.0,0.01098901098901099
22683,Брянск,Суши,73.0,1.0,4.0,0.006802721088435374
13554,Брянск,Пицца,279.0,5.0,7.0,0.008880994671403197
22678,Брянск,Суши,154.0,6.0,3.0,0.01910828025477707
10128,Владивосток,Суши,140.0,3.0,1.0,0.01060070671378092
37698,Владивосток,Суши,37.0,1.0,0.0,0.013333333333333334
37571,Владивосток,Пицца,2.0,0.0,0.0,0.0
29317,Владивосток,Пицца,107.0,1.0,0.0,0.004651162790697674
37685,Владивосток,Суши,11.0,0.0,0.0,0.0
15481,Владивосток,Шашлыки,33.0,0.0,0.0,0.0
36771,Владивосток,Суши,5.0,0.0,0.0,0.0
30017,Владивосток,Десерты,4.0,4.0,1.0,0.3333333333333333
37330,Владивосток,Пицца,1.0,0.0,0.0,0.0
13701,Владивосток,Пицца,83.0,2.0,0.0,0.011904761904761904
28860,Владивосток,Суши,159.0,4.0,3.0,0.012422360248447204
37411,Владивосток,Пироги,0.0,1.0,2.0,1.0
36005,Владивосток,Суши,29.0,0.0,0.0,0.0
30941,Владивосток,Грузинская,17.0,2.0,0.0,0.05555555555555555
37759,Владимир,Суши,19.0,0.0,0.0,0.0
37019,Владимир,Рыба,51.0,0.0,1.0,0.0
36715,Владимир,Бургеры,3.0,0.0,0.0,0.0
25080,Владимир,Рыба,19.0,1.0,0.0,0.02564102564102564
36954,Владимир,Бургеры,32.0,1.0,0.0,0.015384615384615385
35975,Владимир,Пицца,43.0,0.0,2.0,0.0
37338,Владимир,Суши,21.0,7.0,7.0,0.14285714285714285
12575,Владимир,Пицца,182.0,1.0,0.0,0.0027397260273972603
9214,Владимир,Японская,105.0,7.0,3.0,0.03225806451612903
18107,Владимир,Суши,28.0,4.0,3.0,0.06666666666666667
36656,Владимир,Паназиатская,38.0,1.0,0.0,0.012987012987012988
37292,Владимир,Бургеры,52.0,2.0,1.0,0.018867924528301886
37072,Владимир,Рыба,20.0,0.0,0.0,0.0
19646,Владимир,Бургеры,108.0,3.0,2.0,0.0136986301369863
35979,Волгоград,Пицца,156.0,1.0,0.0,0.003194888178913738
7619,Волгоград,Суши,207.0,2.0,3.0,0.004807692307692308
25033,Волгоград,Суши,10.0,2.0,1.0,0.09090909090909091
37161,Волгоград,Суши,44.0,2.0,1.0,0.022222222222222223
35326,Волгоград,Пицца,92.0,2.0,1.0,0.010752688172043012
24121,Волгоград,Пицца,445.0,24.0,25.0,0.0262582056892779
36178,Волгоград,Русская,7.0,0.0,2.0,0.0
36313,Волгоград,Русская,7.0,0.0,0.0,0.0
37364,Волгоград,Суши,258.0,3.0,5.0,0.005780346820809248
33456,Волгоград,Суши,226.0,4.0,2.0,0.008771929824561403
35677,Волгоград,Суши,53.0,1.0,2.0,0.009345794392523364
27881,Волгоград,Корейская,9.0,1.0,0.0,0.05263157894736842
37163,Волгоград,Суши,80.0,1.0,0.0,0.006211180124223602
1847,Волгоград,Пицца,0.0,0.0,0.0,
36629,Волжский,Суши,18.0,1.0,2.0,0.02702702702702703
37295,Волжский,Суши,42.0,0.0,0.0,0.0
30830,Волжский,Пицца,212.0,9.0,15.0,0.020785219399538105
36638,Волжский,Суши,227.0,1.0,0.0,0.002197802197802198
30746,Волжский,Суши,441.0,6.0,4.0,0.006756756756756757
28738,Волжский,Суши,89.0,1.0,1.0,0.00558659217877095
27962,Волжский,Суши,135.0,1.0,1.0,0.0036900369003690036
29208,Волжский,Пицца,17.0,0.0,0.0,0.0
30724,Волжский,Пицца,263.0,4.0,5.0,0.007547169811320755
37294,Волжский,Суши,95.0,0.0,1.0,0.0
35769,Волжский,Суши,80.0,1.0,0.0,0.006211180124223602
36245,Волжский,Пицца,80.0,0.0,3.0,0.0
30745,Волжский,Суши,369.0,4.0,7.0,0.005390835579514825
30723,Волжский,Суши,34.0,1.0,3.0,0.014492753623188406
37526,Вологда,Бургеры,4.0,0.0,0.0,0.0
37527,Вологда,Бургеры,7.0,0.0,2.0,0.0
37535,Вологда,Суши,23.0,0.0,0.0,0.0
28134,Воронеж,Суши,16.0,1.0,7.0,0.030303030303030304
37139,Воронеж,Пицца,36.0,1.0,0.0,0.0136986301369863
28516,Воронеж,Суши,98.0,5.0,2.0,0.024875621890547265
23646,Воронеж,Пицца,25.0,0.0,1.0,0.0
23639,Воронеж,Пицца,4.0,1.0,0.0,0.1111111111111111
26741,Воронеж,Суши,1.0,0.0,0.0,0.0
37635,Воронеж,Пицца,32.0,8.0,0.0,0.1111111111111111
37502,Воронеж,Шаурма,3.0,0.0,0.0,0.0
36991,Воронеж,Суши,6.0,2.0,0.0,0.14285714285714285
36998,Воронеж,Суши,8.0,0.0,0.0,0.0
12681,Воронеж,Супы,252.0,1.0,1.0,0.0019801980198019802
23684,Воронеж,Японская,4.0,0.0,0.0,0.0
20479,Воронеж,Суши,45.0,0.0,1.0,0.0
7354,Воронеж,Пицца,546.0,4.0,6.0,0.0036496350364963502
37248,Егорьевск,Бургеры,10.0,1.0,1.0,0.047619047619047616
36793,Егорьевск,Суши,1.0,0.0,0.0,0.0
35686,Егорьевск,Суши,1.0,0.0,0.0,0.0
30787,Екатеринбург,Бургеры,140.0,7.0,8.0,0.024390243902439025
31163,Екатеринбург,Рыба,0.0,0.0,0.0,
31406,Екатеринбург,Шаурма,5.0,0.0,0.0,0.0
22611,Екатеринбург,Пицца,55.0,2.0,1.0,0.017857142857142856
19951,Екатеринбург,Пироги,5.0,1.0,0.0,0.09090909090909091
21630,Екатеринбург,Русская,5.0,0.0,0.0,0.0
33131,Екатеринбург,Шашлыки,4.0,0.0,0.0,0.0
33976,Екатеринбург,Суши,327.0,46.0,65.0,0.06571428571428571
31729,Екатеринбург,Китайская,12.0,0.0,0.0,0.0
7141,Екатеринбург,Суши,930.0,13.0,12.0,0.0069407367859049655
21390,Екатеринбург,Суши,1.0,0.0,0.0,0.0
8318,Екатеринбург,Итальянская,112.0,0.0,0.0,0.0
35468,Екатеринбург,Хот-доги,4.0,0.0,1.0,0.0
11511,Екатеринбург,Суши,37.0,1.0,1.0,0.013333333333333334
37443,Иваново,Суши,14.0,0.0,0.0,0.0
37604,Иваново,Пицца,14.0,1.0,2.0,0.034482758620689655
37177,Иваново,Бургеры,34.0,1.0,2.0,0.014492753623188406
37622,Иваново,Пицца,7.0,0.0,0.0,0.0
37898,Иваново,Суши,0.0,0.0,0.0,
37178,Иваново,Бургеры,1.0,1.0,0.0,0.3333333333333333
37641,Иваново,Суши,14.0,1.0,0.0,0.034482758620689655
37449,Иваново,Суши,16.0,0.0,1.0,0.0
37451,Иваново,Суши,42.0,0.0,1.0,0.0
37439,Иваново,Пицца,18.0,0.0,2.0,0.0
29384,Ижевск,Суши,30.0,1.0,2.0,0.01639344262295082
8687,Ижевск,Японская,297.0,1.0,0.0,0.0016806722689075631
30969,Ижевск,Суши,54.0,1.0,0.0,0.009174311926605505
31770,Ижевск,Суши,2.0,0.0,0.0,0.0
36614,Ижевск,Пицца,82.0,1.0,0.0,0.006060606060606061
37796,Ижевск,Мясо,9.0,0.0,0.0,0.0
36645,Ижевск,Суши,6.0,4.0,3.0,0.25
36115,Ижевск,Пироги,8.0,0.0,0.0,0.0
29364,Ижевск,Паста и ризотто,66.0,3.0,2.0,0.022222222222222223
37121,Ижевск,Суши,158.0,3.0,1.0,0.009404388714733543
9328,Ижевск,Бургеры,49.0,1.0,0.0,0.010101010101010102
28461,Ижевск,Десерты,13.0,0.0,1.0,0.0
21075,Ижевск,Суши,339.0,2.0,1.0,0.0029411764705882353
21345,Ижевск,Рыба,307.0,2.0,3.0,0.003246753246753247
25316,Иркутск,Суши,90.0,1.0,1.0,0.0055248618784530384
20741,Иркутск,Паста и ризотто,44.0,1.0,0.0,0.011235955056179775
35741,Иркутск,Суши,4.0,0.0,0.0,0.0
12461,Иркутск,Мексиканская,33.0,1.0,0.0,0.014925373134328358
24078,Иркутск,Суши,109.0,3.0,1.0,0.013574660633484163
29928,Иркутск,Суши,54.0,1.0,0.0,0.009174311926605505
8557,Иркутск,Суши,697.0,8.0,17.0,0.005706134094151213
26672,Иркутск,Пицца,10.0,0.0,0.0,0.0
12678,Иркутск,Бургеры,37.0,0.0,0.0,0.0
32198,Иркутск,Суши,50.0,3.0,1.0,0.02912621359223301
28144,Иркутск,Суши,60.0,1.0,2.0,0.008264462809917356
28387,Иркутск,Суши,111.0,1.0,0.0,0.004484304932735426
24672,Иркутск,Шашлыки,12.0,0.0,0.0,0.0
35724,Иркутск,Суши,2.0,0.0,0.0,0.0
37175,Йошкар-Ола,Бургеры,24.0,1.0,0.0,0.02040816326530612
37448,Йошкар-Ола,Суши,30.0,0.0,0.0,0.0
37176,Йошкар-Ола,Бургеры,5.0,0.0,0.0,0.0
6198,Казань,Китайская,190.0,5.0,4.0,0.012987012987012988
3216,Казань,Рыба,315.0,4.0,6.0,0.006309148264984227
34161,Казань,Суши,13.0,0.0,1.0,0.0
9898,Казань,Рыба,1.0,0.0,0.0,0.0
37734,Казань,Бургеры,15.0,0.0,0.0,0.0
5891,Казань,Бургеры,21.0,6.0,2.0,0.125
35387,Казань,Выпечка,6.0,0.0,0.0,0.0
35632,Казань,Суши,4.0,1.0,1.0,0.1111111111111111
16227,Казань,Суши,330.0,1.0,0.0,0.0015128593040847202
14001,Казань,Суши,34.0,0.0,0.0,0.0
35633,Казань,Суши,436.0,2.0,1.0,0.002288329519450801
27045,Казань,Пицца,7.0,0.0,0.0,0.0
27115,Казань,Выпечка,11.0,2.0,1.0,0.08333333333333333
22652,Казань,Рыба,302.0,3.0,0.0,0.004942339373970346
23012,Калининград,Суши,182.0,1.0,1.0,0.0027397260273972603
13091,Калининград,Суши,35.0,5.0,1.0,0.06666666666666667
12663,Калининград,Пицца,157.0,2.0,0.0,0.006329113924050633
15759,Калининград,Пицца,63.0,2.0,2.0,0.015625
37434,Калининград,Суши,7.0,0.0,0.0,0.0
37435,Калининград,Суши,3.0,0.0,0.0,0.0
25545,Калининград,Суши,21.0,1.0,1.0,0.023255813953488372
36836,Калининград,Китайская,47.0,1.0,0.0,0.010526315789473684
37644,Калининград,Суши,12.0,0.0,0.0,0.0
37433,Калининград,Суши,8.0,0.0,3.0,0.0
37772,Калининград,Пицца,7.0,1.0,0.0,0.06666666666666667
37696,Калининград,Русская,3.0,0.0,0.0,0.0
27197,Калининград,Рыба,26.0,0.0,0.0,0.0
28607,Калининград,Пицца,172.0,6.0,2.0,0.017142857142857144
8442,Калуга,Пицца,352.0,5.0,6.0,0.007052186177715092
36612,Калуга,Пицца,20.0,1.0,0.0,0.024390243902439025
26402,Калуга,Пицца,16.0,3.0,2.0,0.08571428571428572
33354,Калуга,Пицца,200.0,4.0,1.0,0.009900990099009901
32821,Калуга,Пицца,4.0,0.0,1.0,0.0
10727,Калуга,Шашлыки,48.0,1.0,2.0,0.010309278350515464
32823,Калуга,Суши,18.0,2.0,0.0,0.05263157894736842
18644,Калуга,Русская,11.0,0.0,0.0,0.0
25443,Калуга,Суши,65.0,3.0,5.0,0.022556390977443608
30067,Калуга,Рыба,40.0,0.0,1.0,0.0
8721,Калуга,Суши,15.0,0.0,1.0,0.0
17525,Калуга,Пироги,3.0,2.0,1.0,0.25
8478,Калуга,Пицца,144.0,2.0,2.0,0.006896551724137931
12983,Калуга,Пицца,338.0,4.0,4.0,0.0058823529411764705
30366,Кемерово,Десерты,22.0,0.0,0.0,0.0
15308,Кемерово,Суши,330.0,4.0,2.0,0.006024096385542169
37469,Кемерово,Шашлыки,3.0,0.0,0.0,0.0
36725,Кемерово,Суши,20.0,0.0,0.0,0.0
16414,Кемерово,Японская,143.0,1.0,0.0,0.003484320557491289
37278,Кемерово,Суши,57.0,1.0,3.0,0.008695652173913044
37758,Кемерово,Суши,26.0,0.0,0.0,0.0
27848,Кемерово,Суши,91.0,1.0,3.0,0.00546448087431694
35811,Кемерово,Пицца,65.0,3.0,4.0,0.022556390977443608
36101,Кемерово,Пицца,117.0,0.0,1.0,0.0
27843,Кемерово,Суши,72.0,0.0,3.0,0.0
36222,Кемерово,Узбекская,25.0,0.0,1.0,0.0
27598,Кемерово,Бургеры,19.0,0.0,0.0,0.0
12493,Кемерово,Русская,9.0,0.0,0.0,0.0
30820,Кострома,Суши,44.0,4.0,1.0,0.043478260869565216
30826,Кострома,Пицца,34.0,2.0,1.0,0.02857142857142857
30823,Кострома,Суши,40.0,0.0,0.0,0.0
37810,Кострома,Суши,0.0,0.0,0.0,
37582,Кострома,Японская,13.0,0.0,0.0,0.0
37813,Кострома,Суши,0.0,0.0,0.0,
36358,Кострома,Суши,49.0,2.0,3.0,0.02
35862,Кострома,Суши,19.0,1.0,0.0,0.02564102564102564
30825,Кострома,Пицца,49.0,4.0,2.0,0.0392156862745098
37812,Кострома,Суши,1.0,0.0,0.0,0.0
33945,Кострома,Пицца,18.0,1.0,0.0,0.02702702702702703
35864,Кострома,Суши,13.0,1.0,0.0,0.037037037037037035
33058,Кострома,Пицца,43.0,1.0,1.0,0.011494252873563218
36154,Кострома,Суши,49.0,2.0,0.0,0.02
35817,Краснодар,Пицца,4.0,0.0,2.0,0.0
32030,Краснодар,Суши,158.0,6.0,5.0,0.018633540372670808
37329,Краснодар,Суши,31.0,1.0,1.0,0.015873015873015872
7812,Краснодар,Японская,192.0,3.0,3.0,0.007751937984496124
6520,Краснодар,Суши,1300.0,70.0,65.0,0.026217228464419477
36811,Краснодар,Шашлыки,18.0,4.0,8.0,0.1
25272,Краснодар,Мясо,29.0,2.0,2.0,0.03333333333333333
36084,Краснодар,Пицца,0.0,0.0,2.0,
35830,Краснодар,Суши,0.0,0.0,1.0,
22933,Краснодар,Гирос,682.0,9.0,3.0,0.0065549890750182084
37649,Краснодар,Шашлыки,0.0,2.0,1.0,1.0
15107,Краснодар,Пицца,28.0,1.0,1.0,0.017543859649122806
14518,Краснодар,Выпечка,20.0,0.0,0.0,0.0
36070,Краснодар,Пицца,106.0,1.0,0.0,0.004694835680751174
31407,Красноярск,Суши,135.0,1.0,1.0,0.0036900369003690036
26168,Красноярск,Индийская,1.0,0.0,0.0,0.0
16376,Красноярск,Рыба,105.0,4.0,1.0,0.018691588785046728
29200,Красноярск,Пицца,16.0,0.0,0.0,0.0
17448,Красноярск,Шашлыки,130.0,1.0,3.0,0.0038314176245210726
27852,Красноярск,Суши,76.0,2.0,1.0,0.012987012987012988
26136,Красноярск,Сэндвичи,0.0,0.0,1.0,
25792,Красноярск,Суши,211.0,4.0,1.0,0.009389671361502348
26179,Красноярск,Индийская,0.0,1.0,0.0,1.0
31411,Красноярск,Суши,73.0,3.0,0.0,0.020134228187919462
35555,Красноярск,Мясо,7.0,0.0,1.0,0.0
31413,Красноярск,Суши,45.0,1.0,1.0,0.01098901098901099
26166,Красноярск,Индийская,0.0,2.0,0.0,1.0
27844,Красноярск,Суши,86.0,11.0,3.0,0.060109289617486336
34861,Курск,Суши,400.0,2.0,0.0,0.0024937655860349127
30356,Курск,Суши,70.0,0.0,0.0,0.0
31262,Курск,Пицца,202.0,6.0,7.0,0.014634146341463415
37107,Курск,Бургеры,77.0,0.0,0.0,0.0
36519,Курск,Суши,24.0,0.0,2.0,0.0
22903,Курск,Рыба,118.0,1.0,3.0,0.004219409282700422
24130,Курск,Пицца,270.0,8.0,10.0,0.014598540145985401
37217,Курск,Бургеры,67.0,1.0,0.0,0.007407407407407408
35781,Курск,Суши,259.0,2.0,1.0,0.0038461538461538464
36969,Курск,Суши,332.0,5.0,5.0,0.007473841554559043
26509,Курск,Суши,416.0,3.0,4.0,0.003592814371257485
24335,Курск,Шашлыки,18.0,0.0,0.0,0.0
33618,Курск,Пицца,328.0,5.0,1.0,0.007564296520423601
23175,Курск,Пицца,152.0,1.0,4.0,0.003278688524590164
32010,Липецк,Суши,56.0,2.0,0.0,0.017543859649122806
25867,Липецк,Пицца,263.0,4.0,0.0,0.007547169811320755
29461,Липецк,Суши,24.0,2.0,1.0,0.04
36717,Липецк,Пицца,126.0,5.0,2.0,0.019455252918287938
26211,Липецк,Пицца,39.0,0.0,0.0,0.0
9279,Липецк,Суши,177.0,1.0,3.0,0.0028169014084507044
9282,Липецк,Суши,322.0,4.0,8.0,0.006172839506172839
9274,Липецк,Суши,85.0,2.0,3.0,0.011627906976744186
37606,Липецк,Суши,30.0,2.0,0.0,0.03225806451612903
25775,Липецк,Пицца,185.0,0.0,0.0,0.0
28050,Липецк,Пицца,12.0,1.0,0.0,0.04
37529,Липецк,Шашлыки,11.0,0.0,0.0,0.0
9281,Липецк,Суши,343.0,5.0,4.0,0.00723589001447178
9278,Липецк,Суши,224.0,2.0,0.0,0.0044444444444444444
37148,Магнитогорск,Суши,41.0,0.0,0.0,0.0
30188,Магнитогорск,Бургеры,7.0,0.0,1.0,0.0
30187,Магнитогорск,Рыба,1.0,0.0,2.0,0.0
37095,Магнитогорск,Бургеры,8.0,1.0,0.0,0.058823529411764705
36534,Магнитогорск,Бургеры,19.0,5.0,2.0,0.11627906976744186
30189,Магнитогорск,Пицца,18.0,0.0,0.0,0.0
30185,Магнитогорск,Суши,121.0,5.0,0.0,0.020242914979757085
37892,Магнитогорск,Суши,0.0,0.0,0.0,
26088,Москва,Грузинская,9.0,3.0,0.0,0.14285714285714285
37262,Москва,Суши,51.0,3.0,0.0,0.02857142857142857
25618,Москва,Сэндвичи,199.0,3.0,5.0,0.007481296758104738
36466,Москва,Суши,109.0,6.0,1.0,0.026785714285714284
22752,Москва,Фастфуд,2.0,0.0,0.0,0.0
31520,Москва,Рыба,2.0,1.0,0.0,0.2
36429,Москва,Пицца,0.0,0.0,1.0,
24158,Москва,Мясо,13.0,1.0,0.0,0.037037037037037035
25479,Москва,Пицца,841.0,8.0,2.0,0.004733727810650888
36465,Москва,Суши,355.0,2.0,2.0,0.0028089887640449437
10983,Москва,Японская,93.0,3.0,4.0,0.015873015873015872
21268,Москва,Итальянская,3.0,0.0,0.0,0.0
32903,Москва,Суши,14.0,0.0,0.0,0.0
37583,Москва,Пицца,11.0,0.0,0.0,0.0
36880,Набережные Челны,Бургеры,35.0,0.0,0.0,0.0
33338,Набережные Челны,Шашлыки,4.0,0.0,0.0,0.0
27462,Набережные Челны,Суши,111.0,3.0,3.0,0.013333333333333334
27860,Набережные Челны,Мясо,22.0,0.0,0.0,0.0
36881,Набережные Челны,Бургеры,49.0,0.0,0.0,0.0
36513,Набережные Челны,Шашлыки,15.0,0.0,0.0,0.0
37246,Набережные Челны,Суши,254.0,5.0,3.0,0.009746588693957114
37640,Набережные Челны,Шашлыки,12.0,0.0,0.0,0.0
36647,Набережные Челны,Пицца,97.0,6.0,2.0,0.03
36568,Набережные Челны,Пицца,136.0,2.0,2.0,0.0072992700729927005
27184,Набережные Челны,Пицца,124.0,1.0,1.0,0.004016064257028112
37359,Набережные Челны,Китайская,35.0,1.0,0.0,0.014084507042253521
37142,Набережные Челны,Китайская,20.0,1.0,0.0,0.024390243902439025
27071,Набережные Челны,Суши,66.0,0.0,2.0,0.0
26564,Нижневартовск,Суши,55.0,2.0,3.0,0.017857142857142856
30377,Нижневартовск,Суши,95.0,1.0,1.0,0.005235602094240838
22950,Нижневартовск,Суши,55.0,12.0,18.0,0.09836065573770492
37211,Нижневартовск,Бургеры,65.0,12.0,2.0,0.08450704225352113
23216,Нижневартовск,Японская,102.0,0.0,0.0,0.0
37210,Нижневартовск,Бургеры,103.0,3.0,3.0,0.014354066985645933
35910,Нижневартовск,Шаурма,0.0,0.0,2.0,
31186,Нижневартовск,Японская,161.0,1.0,2.0,0.0030959752321981426
36830,Нижневартовск,Суши,100.0,0.0,0.0,0.0
24041,Нижневартовск,Суши,128.0,1.0,0.0,0.0038910505836575876
24363,Нижневартовск,Суши,33.0,1.0,1.0,0.014925373134328358
31352,Нижневартовск,Суши,35.0,2.0,0.0,0.027777777777777776
37809,Нижневартовск,Суши,0.0,2.0,0.0,1.0
37474,Нижневартовск,Суши,92.0,0.0,0.0,0.0
22318,Нижний Новгород,Пицца,28.0,1.0,0.0,0.017543859649122806
35881,Нижний Новгород,Шашлыки,24.0,0.0,0.0,0.0
23807,Нижний Новгород,Суши,151.0,1.0,3.0,0.0033003300330033004
22211,Нижний Новгород,Суши,79.0,29.0,20.0,0.15508021390374332
11583,Нижний Новгород,Пицца,20.0,0.0,0.0,0.0
3850,Нижний Новгород,Шашлыки,64.0,2.0,1.0,0.015384615384615385
25300,Нижний Новгород,Пицца,42.0,0.0,0.0,0.0
37667,Нижний Новгород,Русская,5.0,0.0,0.0,0.0
28312,Нижний Новгород,Шашлыки,3.0,0.0,0.0,0.0
11820,Нижний Новгород,Суши,52.0,6.0,0.0,0.05454545454545454
22651,Нижний Новгород,Грузинская,31.0,0.0,1.0,0.0
36416,Нижний Новгород,Суши,7.0,0.0,0.0,0.0
36860,Нижний Новгород,Шашлыки,90.0,0.0,1.0,0.0
15856,Нижний Новгород,Пицца,85.0,9.0,18.0,0.05027932960893855
13443,Новокузнецк,Суши,21.0,1.0,0.0,0.023255813953488372
36226,Новокузнецк,Суши,52.0,3.0,1.0,0.028037383177570093
36315,Новокузнецк,Шашлыки,38.0,5.0,2.0,0.06172839506172839
35568,Новокузнецк,Суши,31.0,2.0,6.0,0.03125
35855,Новокузнецк,Суши,104.0,4.0,2.0,0.018867924528301886
27837,Новосибирск,Суши,116.0,1.0,0.0,0.004291845493562232
